Subject,alpha_pos_Fri,alpha_neg_Fri,alpha_pos_str,alpha_neg_str,b0,b1,b2,b3,sse,aic,bic
101,0.309988003,0.000100043,0.999999976,0.999999907,6.499847226,0.285720219,0.877716337,-0.730186065,77.96054867,-157.0481522,-130.9881893
102,0.009731634,0.620224639,0.021346288,0.028844865,6.75899871,0.263340303,-1.561463287,10.02126402,22.76638472,-393.3843734,-367.3244105
103,0.037334289,0.070008983,0.027214829,0.04121475,6.954614715,0.762496507,0.49018209,19.99999357,129.0168735,45.76495105,66.11130931
104,0.349545896,0.24783933,0.734568247,0.221921698,2.314447105,1.076353159,7.654924019,-4.999999964,290.3147592,106.9784366,132.0648241
105,0.851546736,0.91686875,0.866944471,0.974673363,5.118118169,1.065376287,2.21847674,0.444919378,165.9255844,-6.359443357,19.48942558
106,0.033039881,0.194235236,0.361269168,0.0001,6.206413314,0.266714012,-4.999999997,7.018104368,152.4048586,-22.25423355,3.594635386
107,0.00454322,0.00403397,0.265809653,0.0001,7.872797008,0.214429235,7.056575611,-4.999999997,100.0572981,-104.2047584,-78.27078223
108,0.226708895,0.000100011,0.999999981,0.999999997,7.473643603,0.268699006,0.901735997,-0.559700568,134.2023953,-47.37346323,-21.48192753
110,0.376155845,0.000100001,0.127124417,0.99999999,6.826368033,0.317191014,2.011668099,-3.682345095,142.6164985,44.56467164,66.16851456
112,0.038145608,0.175310444,0.999999995,0.0001,5.269520858,0.773218393,-4.999999999,5.912969574,247.8154052,77.53141749,102.8038599
113,0.004187965,0.001966046,0.999999996,0.550552092,7.7478522,0.160754573,5.33279807,-4.999999961,226.7980974,48.81127019,74.82945761
114,0.285454328,0.923444083,0.999999994,0.346154332,7.39700448,0.297747164,1.720655927,1.511670933,178.7922235,5.506219867,31.44019599
116,0.999999997,0.999999999,0.999999999,0.854714435,4.974159108,0.990321971,1.566107056,0.866193184,148.7923158,-32.94922732,-6.889264346
117,0.758365719,0.892299897,0.960756679,0.999999999,6.118509979,0.802633003,1.33913434,1.814032314,167.2033654,0.567153749,26.19920725
118,0.004483579,0.004290827,0.017947862,0.015287247,6.690526664,0.297465198,19.99996236,19.99994304,134.5782704,-50.87434534,-24.85615791
119,0.003302633,0.741832136,0.358445141,0.999999657,6.71057765,0.540336854,-0.618210859,2.029530788,77.41298981,-22.64583496,-1.041992029
120,0.974605186,0.976776568,0.999999987,0.999999998,4.950489528,0.917786405,2.92278508,0.166696303,93.41327609,-120.6108306,-94.59264314
121,0.542519814,0.999999998,0.554569525,0.833949518,6.438094759,0.799514381,1.399276941,0.694634165,158.5584571,0.919891892,26.14622465
122,0.495235189,0.856457086,0.777805398,0.695530126,6.350524047,0.547748203,1.52853536,1.090784701,83.86936349,-143.0211162,-116.9611532
123,0.543379207,0.084418239,0.504863751,0.999999997,5.793537253,0.648781347,2.75659421,-1.634021669,117.6258326,0.781291523,23.8437069
125,0.803525611,0.999999995,0.999999999,0.999999994,6.340424463,0.517054759,0.745150255,1.423874122,207.8195298,31.20153966,57.26150263
126,0.09297282,0.458357164,0.097024872,0.111908707,7.634857116,0.257634721,-1.290192844,6.043963834,34.69400536,-309.7899438,-283.7717564
303,0.544625118,0.93395802,0.50508231,0.481024855,6.157715971,1.10044931,1.244935069,2.249531867,235.2648592,57.38437078,83.3183469
304,0.999999993,0.668709412,0.999999993,0.999999998,4.589745542,1.156656967,3.061683212,-3.029438288,120.1741211,-58.12951494,-32.54153869
