rselfother,lselfother,mselfother
0.099836751,0.285256196,0.888863582
-0.168365129,0.206647171,-0.741808275
0.205530789,-0.509978517,0.277264776
-0.590531308,0.352750488,0.605941181
-0.002043241,0.292653814,0.19630863
-0.108889426,0.406614155,0.851659465
-0.332448331,0.440676445,0.821605821
-0.333538542,0.203490226,0.365717141
-0.069019846,0.089646099,0.173950606
-0.276812985,0.366811064,-0.439169468
-0.126480133,0.215671868,0.775235121
-0.381265956,0.376225689,-1.665768244
-0.447064548,0.224060371,-0.463049143
-0.19211017,0.111757447,0.389394589
-0.298744295,-0.735477438,-1.058260721
-0.263174805,-0.375429854,-0.518949992
0.266527587,-0.412405168,-0.123232233
0.082642181,0.017500087,0.192705471
-0.05009145,-0.172316286,-0.053289926
-0.108556057,0.498495572,0.293430247
-0.452849731,-0.172393134,0.234646222
0.362372583,0.378375696,0.868654182
0.119394344,-0.079414423,-0.193508471
-0.549149424,-0.199266493,0.388998258
-0.553454075,0.382819815,-0.632864885
-0.061712385,0.631777461,0.238847461
-0.168164519,0.063294742,-0.579348779
-0.021525681,-0.011815276,0.27385829
-0.05955726,0.045965636,0.22401062
-0.028302652,-0.340850887,0.413840736
-0.128597838,0.77627593,0.032992123
-0.085815041,0.854702482,0.248841694
-0.229609486,0.174613602,0.085440429
-0.438578829,-0.163089043,0.452958337
-0.878061634,0.604740764,-0.858906208
-0.631617738,0.195857306,0.517532504
0.028636593,0.19393434,-0.296429027
-0.09721848,-0.0668974,-0.200259906
-0.004529871,0.278667169,-0.011368424
0.179885806,-0.098098749,-0.524632207
0.084127825,0.272143904,0.835827283
0.085785014,0.089832954,-0.313339829
-0.307596538,0.072416845,-0.348412919
-0.070035017,0.016192375,0.589919889
-0.231638138,-0.139025662,-0.217718454
0.07958759,0.15859377,0.345486036
-0.129316102,0.449325881,0.816965331
-0.242681142,0.612347117,-0.099070446
-0.272089177,-0.326031256,0.33920315
-0.36728814,1.172315596,-0.442248034
0.329265043,0.412342912,2.210339555
0.129687417,-0.023740565,0.795675958
0.439191509,-0.193844862,0.525354198
0.11340906,0.164125793,1.454752031
-0.1924688,0.280096388,-0.132872857
-0.365443695,-0.174879824,-0.137069429
-0.106512101,-0.036430533,-0.092155983
