"","Lambda","Rho","Mu","LogLambda"
"1",1.51017246974895,1.56248636418612,53.7265171535665,0.412223862681196
"2",6.47257856813481,0.875699868072027,3.55361246081517,1.86757457133154
"3",0.33360889166645,1.44661597263001,24.3385576945556,-1.09778595517634
"4",0.944269365079163,0.746498689507846,8.90399207378507,-0.0573438091760767
"5",0.9137102750938,0.600590706535757,21.4449670396965,-0.0902417434527447
"6",3.20115075982771,2.10124642606556,54.4106663868601,1.16351035760678
"7",1.77863899867445,0.328517296633071,18.8185523486462,0.575848464356338
"8",7.59765176794956,0.67072829691776,14.7446310231799,2.02783922164741
"9",0.821383303702703,0.99370089172816,26.8301878270617,-0.196765404300425
"10",5.51162236245275,1.21727967822563,5.87803062869419,1.70685901947258
"11",1.56451877055961,1.68475322920376,49.2002151272634,0.447578281855794
"12",3.26797556969399,1.20288987506033,12.6648477011164,1.18417070135598
"13",11.2570600176536,0.981307948109204,18.4565026917104,2.42099548894357
"14",1.37354459191148,0.857273671514887,25.3416329290801,0.317394691924609
"15",1.16398424988718,1.32580706743757,32.7074333041952,0.151848818192941
"16",0.414090678993777,0.86218655609373,15.1764040661817,-0.88167029775476
"17",2.41012051009735,1.52530700278195,6.77034959866313,0.879676750442166
"18",1.38090090515542,1.21465829065214,10.5511360377285,0.322736115991187
"19",0.849399786144762,1.39954638816547,14.7117736612117,-0.163225312875118
"20",1.92173212981983,1.50396626774134,35.1655136521299,0.653226930293934
"21",1.5114796413189,0.912994215362453,31.8366764844629,0.413089065956392
"22",1.60369443352572,1.49607787624725,22.6563921467957,0.472309988506911
"23",1.47882064059423,0.972787809803335,6.884747790913,0.391244905647408
"24",1.1924221178071,0.545881979616799,11.2202096685651,0.175986631632556
"25",2.82316609924324,1.00457410454435,5.32957537876275,1.03785898538789
"26",1.0148028749437,1.63489993948058,10.714734823469,0.0146943817540573
"27",1.48333638389288,1.53505775460766,48.5098711881953,0.394293864064922
"28",1.77427197087668,1.75845497479392,50.004462064994,0.573390181537313
"29",0.861427136403396,1.85266694127227,47.7061280326605,-0.149164804184311
"30",1.4282215842307,0.819514492116616,16.8233043994047,0.356430022909518
"31",1.1326665065757,1.35666907510034,26.7032081906488,0.124574593241744
"32",3.22704329500055,1.04735171895416,8.26225183737853,1.17156632946589
"33",1.35097812986421,1.02764535748055,22.7420449544668,0.300828870737638
"34",1.49247424910498,0.859366318025905,22.7765366132623,0.400435312604774
"35",2.08595817415271,0.703112872396623,7.50228704291867,0.735228305635814
"36",4.68882910204203,0.540298128786676,9.62404397062367,1.54518289287512
"37",5.81237151829588,0.948818725402517,6.83492252276261,1.75998866628997
"38",1.37190905587674,1.45807873728458,123.657621699455,0.316203241302569
"39",1.70084035668742,0.994162393879835,27.9835061204151,0.531122456385789
"40",0.964709367383992,1.15841957163034,65.8389685939998,-0.0359283967004018
"41",1.67925588330956,1.59488029548718,20.7758404117386,0.518350768692756
"42",1.20250460570769,1.04115766768917,10.1404725711893,0.184406553100786
"43",1.1832390002526,0.943542949675255,14.0508730948155,0.168255593545162
"44",1.06037861627679,0.998991847093042,31.1257027646604,0.058626029515323
"45",1.46835919955106,1.13115156687074,26.416276975199,0.38414558660419
"46",1.98881369180553,0.915677526748362,30.4742131324786,0.687538326206327
"47",1.84538716710206,1.19392683906624,10.9788192661739,0.612689102145541
"48",6.7880395314563,0.798826764855302,7.29638172486379,1.91516217108164
"49",1.95138593973786,0.68654081098405,12.3451924169939,0.668539858447891
"50",5.44721271180048,1.25496243011125,7.31660869444999,1.69510404882329
"51",23.1341443631907,1.46254528264205,25.3399140259206,3.14130963715765
"52",0.93651640464357,1.0706666437058,36.3507612585109,-0.0655882402801699
"53",0.521559706812876,1.28349472566469,20.818863929614,-0.65093152056201
"54",0.668936416796905,1.51571277868866,55.0608876187372,-0.402066265527794
"55",2.23341111088717,1.29219636766464,15.2421301004867,0.80353006289278
"56",2.39567923282865,0.828343237650551,11.0452849631027,0.873666795176075
"57",1.85702298743748,0.931148727224078,10.8550236235339,0.618974661097119
