Subject,Group,Other-Loss,Other-Win,Self-Loss,Self-Win,Shared-Loss,Shared-Win,,,,,,,,,,
1,1,2,7,1,7,1,7,,,,,,,,,,
2,1,2,7,2,7,2,7,,,,Total,Other-Loss,Other-Win,Self-Loss,Self-Win,Shared-Loss,Shared-Win
3,1,2,6,4,5,3,6,,,,,2.218181818,6.163636364,2.181818182,6.545454545,2.836363636,6.072727273
4,1,2,7,3,6,2,5,,,,,1.272077756,1.049931856,1.123666437,0.789237368,1.243704686,0.899681949
5,1,2,7,2,7,2,7,,,,,0.16998854,0.140303046,0.150156244,0.10546628,0.16619703,0.120225058
6,1,2,4,1,7,3,6,,,,Friend,Other-Loss,Other-Win,Self-Loss,Self-Win,Shared-Loss,Shared-Win
7,1,3,7,3,7,4,7,,,,,2.107142857,6.25,2.285714286,6.464285714,2.857142857,6.178571429
8,1,2,5,1,7,1,6,,,,,1.165532328,0.927960727,1.049061057,0.83808171,1.238705588,0.818923025
9,1,3,6,2,4,3,6,,,,,0.220264906,0.175368094,0.198253905,0.158382556,0.234093352,0.154761905
10,1,4,5,2,7,3,6,,,,Stranger,Other-Loss,Other-Win,Self-Loss,Self-Win,Shared-Loss,Shared-Win
11,1,4,4,4,5,4,5,,,,,2.275862069,6.068965517,2.103448276,6.655172414,2.793103448,5.931034483
12,1,1,7,2,7,6,7,,,,,1.360056504,1.131719125,1.175488579,0.720905287,1.235756285,0.961064681
13,1,1,7,2,6,3,6,,,,,0.252556152,0.210154966,0.218282749,0.133868751,0.229474181,0.178465231
14,1,1,7,1,7,1,7,,,,,,,,,,
16,1,1,7,1,7,2,6,,,,,,,,,,
18,1,1,7,2,7,2,7,,,,,,,,,,
19,1,4,7,3,6,4,5,,,,,,,,,,
20,1,2,6,3,7,3,7,,,,,,,,,,
21,1,1,6,2,7,2,4,,,,,,,,,,
22,1,2,5,2,7,3,5,,,,,,,,,,
23,1,1,6,2,6,3,7,,,,,,,,,,
24,1,4,6,4,6,4,6,,,,,,,,,,
25,1,2,7,2,7,3,6,,,,,,,,,,
26,1,2,6,3,7,4,6,,,,,,,,,,
27,1,1,7,1,7,1,7,,,,,,,,,,
28,1,1,7,2,6,2,6,,,,,,,,,,
29,1,1,6,2,5,4,7,,,,,,,,,,
30,1,5,6,5,7,5,6,,,,,,,,,,
1,0,1,7,1,7,4,5,,,,,,,,,,
2,0,5,2,1,7,4,4,,,,,,,,,,
3,0,1,7,2,7,3,7,,,,,,,,,,
4,0,1,5,1,7,2,5,,,,,,,,,,
5,0,2,6,1,7,3,6,,,,,,,,,,
6,0,1,7,1,7,2,7,,,,,,,,,,
7,0,1,7,1,7,1,7,,,,,,,,,,
8,0,1,7,1,7,1,7,,,,,,,,,,
9,0,1,7,4,6,2,7,,,,,,,,,,
10,0,3,6,5,4,6,6,,,,,,,,,,
11,0,2,6,2,7,2,6,,,,,,,,,,
12,0,1,7,2,7,2,5,,,,,,,,,,
13,0,4,7,4,7,4,7,,,,,,,,,,
14,0,2,5,4,5,2,5,,,,,,,,,,
15,0,3,5,1,7,5,6,,,,,,,,,,
16,0,4,5,2,7,3,6,,,,,,,,,,
17,0,1,6,1,7,2,7,,,,,,,,,,
19,0,1,7,3,6,1,7,,,,,,,,,,
20,0,1,7,1,7,1,7,,,,,,,,,,
21,0,3,5,3,6,3,5,,,,,,,,,,
22,0,2,7,3,6,2,6,,,,,,,,,,
23,0,4,7,2,7,4,5,,,,,,,,,,
24,0,4,7,1,7,3,7,,,,,,,,,,
25,0,4,5,2,6,3,6,,,,,,,,,,
26,0,2,5,3,7,4,6,,,,,,,,,,
27,0,5,6,1,7,4,4,,,,,,,,,,
28,0,3,6,3,7,3,5,,,,,,,,,,
29,0,1,6,3,7,2,5,,,,,,,,,,
30,0,2,6,2,7,3,6,,,,,,,,,,
